cat_name,desc,price
Cigarettes,CB LOR NEWPORT LT KING,22.34
Cigarettes,CB LOR NEWPORT LT KING BOX,22.34
Cigarettes,CB LOR NEWPORT LT 100,22.34
Cigarettes,CB LOR NEWPORT SLIM LT 100 BOX,22.34
Cigarettes,CB LOR NEWPORT STRIPE 100 MEN,22.34
Cigarettes,CB LOR NEWPORT LT 100 BOX,22.34
Cigarettes,CB RJR SALEM KING,22.34
Cigarettes,CB RJR SALEM 100,22.34
Cigarettes,CB RJR SALEM LT KING,22.34
Cigarettes,CB RJR SALEM LT 100,22.34
Cigarettes,CB RJR SALEM UL KING,22.34
Cigarettes,CB RJR SALEM UL 100,22.34
Cigarettes,CB RJR SALEM SLIM LT 100 BOX,22.34
Cigarettes,PLU CIG SEBRING CARTON SM,20.5
Cigarettes,CG PM  BASIC NON-FILTER KING,20.36
Cigarettes,CG PM  BASIC KING,20.36
Cigarettes,CG PM  BASIC KING BOX,20.36
Cigarettes,CG PM  BASIC 100,20.36
Cigarettes,CG PM  BASIC LT KING,20.36
Cigarettes,CG PM  BASIC LT KING BOX,20.36
Cigarettes,CG PM  BASIC LT 100,20.36
Cigarettes,CG PM  BASIC UL KING,20.36
Cigarettes,CG PM  BASIC UL 100,20.36
Cigarettes,CG PM  BASIC MEN KING,20.36
Cigarettes,CG PM  BASIC MEN KING,20.36
Cigarettes,CG PM  BASIC MEN 100,20.36
Cigarettes,CG PM  BASIC LT MEN KING,20.36
Cigarettes,CG PM  BASIC LT MEN 100,20.36
Cigarettes,CG PM  BASIC 100 BOX,20.36
Cigarettes,CG PM  BASIC LT 100 BOX,20.36
General Merchandise,FILM FUJI QUICK SNAP FLASH,19.99
Cigarettes,CG B&W GPC KING,19.36
Cigarettes,CG B&W GPC KING BOX,19.36
Cigarettes,CG B&W GPC 100,19.36
Cigarettes,CG B&W GPC LT KING,19.36
Cigarettes,CG B&W GPC LT KING BOX,19.36
Cigarettes,CG B&W GPC LT 100,19.36
Cigarettes,CG B&W GPC MEN KING,19.36
Cigarettes,CG B&W GPC MEN 100,19.36
Cigarettes,CG B&W GPC LT MEN KING,19.36
Cigarettes,CG B&W GPC LT MEN 100,19.36
Cigarettes,CG B&W GPC MED KING BOX,19.36
Cigarettes,CG B&W GPC MED 100 BOX,19.36
Cigarettes,CG B&W GPC 100 BOX,19.36
Cigarettes,CG RJR DORAL KING,19.36
Cigarettes,CG RJR DORAL KING BOX,19.36
Cigarettes,CG RJR DORAL 100,19.36
Cigarettes,CG RJR DORAL LT KING,19.36
Cigarettes,CG RJR DORAL LT KING BOX,19.36
Cigarettes,CG RJR DORAL LT 100,19.36
Cigarettes,CG RJR DORAL UL 100,19.36
Cigarettes,CG RJR DORAL UL KING,19.36
Cigarettes,CG RJR DORAL MEN KING,19.36
Cigarettes,CG RJR DORAL MEN KING BOX,19.36
Cigarettes,CG RJR DORAL MEN 100,19.36
Cigarettes,CG RJR DORAL LT MEN KING,19.36
Cigarettes,CG RJR DORAL LT MEN 100,19.36
Cigarettes,CG RJR DORAL 100 BOX,19.36
Cigarettes,CG RJR DORAL LT 100 BOX,19.36
Cigarettes,CG LOR MAVERICK SPECIALS KING,18.36
Cigarettes,CG LOR MAVERICK SPECIALS KING BOX,18.36
Cigarettes,CG LOR MAVERICK SPECIAL 100,18.36
Cigarettes,CG LOR MAVERICK SPECIAL LT KING,18.36
Cigarettes,CG LOR MAVERICK SPECIAL LT KING BOX,18.36
Cigarettes,CG LOR MAVERICK SPECIAL LT 100,18.36
Cigarettes,CG LOR MAVERICK SPECIAL MEN KING BOX,18.36
Cigarettes,CG LOR MAVERICK SPECIAL MEN 100 BOX,18.36
Cigarettes,CG LOR MAVERICK SPECIAL MEN LT KING BOX,18.36
Cigarettes,CG LOR MAVERICK SPECIAL MEN LT 100 BOX,18.36
General Merchandise,FILM POLAROID 600 SPEED FILM,17.99
Cigarettes,CSG RJR SEBRING NON-FILTER KING,17.48
Cigarettes,CSG RJR SEBRING KING,17.48
Cigarettes,CSG RJR SEBRING 100,17.48
Cigarettes,CSG RJR SEBRING MEN KING,17.48
Cigarettes,CSG RJR SEBRING MEN 100,17.48
Cigarettes,CSG RJR SEBRING LT KING,17.48
Cigarettes,CSG RJR SEBRING LT 100,17.48
Cigarettes,CSG RJR SEBRING LT MEN KING,17.48
Cigarettes,CSG RJR SEBRING LT MEN 100,17.48
Cigarettes,CSG RJR SEBRING UL KING,17.48
Cigarettes,CSG RJR SEBRING UL 100,17.48
Not Used,PLU PROPANE SWAP,15.99
Cigarettes,PROMO B PM  MARL KING BOX B4/G1,13.56
Cigarettes,PROMO B PM  MARL LT KING BOX B4/G1,13.56
Cigarettes,PROMO B PM  MARL LT 100 BOX B4/G1,13.56
Cigarettes,PROMO B PM  MARL MED KING BOX B4/G1,13.56
General Merchandise,FILM FUJI QUICK SNAP,11.99
Health & Beauty Care,SUN HT SUNBLOCK BABY FACES,10.99
Automotive Products,AUTO PLASTIC KEROSENE CAN 5 GAL,9.99
General Merchandise,SUN SUNGLASS SCORPIO,9.99
General Merchandise,SUN SUNGLASS ASPEN,9.99
General Merchandise,SUN SUNGLASS TRITON,9.99
General Merchandise,SUN SUNGLASS ECHELON,9.99
Cigarettes,PLU CIG 3PK SPECIAL,9.17
General Merchandise,SUN SUNGLASS PARRALAX,8.99
General Merchandise,SUN SUNGLASS LYNX SHADOWS,8.99
General Merchandise,SUN SUNGLASS APOLLO,8.99
General Merchandise,SUN SUNGLASS SAHARA,8.99
